School Code,Diff,PreA,Type,Cat,Rel,MSE%,Roll,SEN/EHC,EAL,FSM,Rating,Year,TPratio,IMD,I,E,ES,HD,C,BHS,LE,IDACI 
AL,2.87,5.3,M,A,None,74,606,2.3,1.5,14.5,1,12,19.2,29671,27766,26658,22948,31936,12542,29824,29440,25248
BH,3.99,5.5,P,MS,CofE,80,419,0.2,8.6,13.1,2,17,22.1,18179,19801,13560,17779,15847,32099,16136,8688,26149
CH,1.5,5.69,P,MS,CofE,73,202,1,1.1,6.5,2,14,22,21550,27048,28109,22186,29235,15801,2213,13123,26507
DO,2.19,6.14,M,A,None,45,616,3.7,3.1,21.1,2,14,21.4,22520,20765,17054,21643,16937,18965,31373,18615,18563
DV,1.58,6.16,M,MS,None,54,110,1.8,0,14.5,2,17,19.3,10284,14222,12457,11329,14372,28455,3439,1403,14482
EM,2.72,5.14,M,MS,CofE,51,402,1.2,1,14.7,2,,20.6,31746,30409,29614,23349,31572,22961,24189,32759,30759
FF,1.89,5.97,P,MS,CofE,91,151,0,0,7.9,2,17,24.5,25959,30792,30397,23904,32027,18361,3680,19017,32208
GR,2.64,5.1,P,MS,None,54,394,1.8,5.7,15,2,15,18.7,24089,24049,21466,10388,25412,17806,28401,26239,23698
HB,5.33,4.26,P,MS,CofE,na,61,1.6,0,na,2,12,14.5,17183,21940,24286,24091,23390,17397,1200,7172,24241
MH,1.79,5,M,A,None,47,548,0.4,3.3,23.7,2,17,19.1,12887,12680,12425,13176,11847,7029,26001,10087,14300
NB,4.77,4.97,P,MS,CofE,81,205,2.4,1.1,6.8,2,16,20.3,27011,25638,26005,26426,26261,24952,12063,17616,23185
OA,1.77,5.11,M,A,None,60,597,0.3,3.9,29.1,2,16,18.3,15801,16769,14263,16287,18160,13669,6282,18154,17459
OP,1.97,5.25,P,MS,None,71,228,1.6,5.1,20.7,2,12,20.6,30272,29998,31929,22209,28573,23771,26591,14808,23034
SE,2.02,5.47,M,A,CofE,50,603,1.5,3.3,25.5,2,17,18,32249,31580,31704,32739,30944,25695,31039,15600,31458
SW,4.71,5.41,P,MS,CofE,50,193,2.6,4.8,13,2,16,19.1,17074,20664,15836,12996,23040,8895,9703,16778,18478
SG,3.33,5,P,I,CofE,90,127,0,0,0,1,,16,23744,24575,27438,21752,25023,24894,6079,13795,22734
SM,1.34,6.72,M,MS,None,63,273,0.7,1.1,22,2,14,16.1,17445,15157,17178,9564,21765,24009,14567,14975,15582
