School Code,Diff,PreA,Type,Cat,Rel,MSE%,Roll,SEN/EHC,EAL,FSM,Rating,Year,TPratio,IMD,I,E,ES,HD,C,BHS,LE,IDACI
BP,2.29,6.1,P,MS,None,63,213,0.5,9.2,5.6,1,10,22.8,26115,17352,26199,26306,27815,25440,15897,21938,21916
BF,4.41,6.29,P,MS,None,85,190,2.6,5.5,5.3,1,15,20.3,31959,32447,30818,32278,30323,25034,14808,29053,32180
BB,2.99,4.53,P,MS,None,63,294,5.1,9,14.3,2,17,24.3,24054,24798,24521,18026,23276,22483,11424,17590,22807
CH,2.85,4.94,P,MS,CofE,73,202,1,1.1,6.5,2,14,22,21550,27048,28109,22186,29235,15801,2213,13123,26507
FA,1.54,5.54,P,A,None,40,755,1.2,34.2,36.6,1,17,17.4,5320,5639,5400,4641,2519,12039,14290,10506,5900
FF,2.3,6.26,P,MS,CofE,91,151,0,0,7.9,2,17,24.5,25959,30792,30397,23904,32027,18361,3680,19017,32208
HO,2.9,6.83,P,MS,None,54,187,0.5,3.1,7,2,17,23.1,24370,22629,18378,28430,19909,18411,27410,16364,26662
HS,3.87,5.65,P,A,None,53,118,0.8,2.9,5.9,2,15,21.6,21856,29826,29790,25705,29491,32201,1195,6408,28567
SX,1.79,6.51,M,MS,CofE,66,591,0.3,1,11.5,1,12,15.6,25108,23990,28220,30007,28607,32649,3876,13789,25834
NT,5.24,3.52,P,MS,None,59,230,1.3,31.8,39.1,2,15,17.9,14230,15094,14831,13303,16298,10163,23391,4707,14216
NB,3.31,6,P,MS,CofE,81,205,2.4,1.1,6.8,2,16,20.3,27011,25638,26005,26426,26261,24952,12063,17616,23185
OA,1.51,5.55,M,A,None,60,597,0.3,3.9,29.1,2,16,18.3,15801,16769,14263,16287,18160,13669,6282,18154,17459
ST,1.58,5.96,P,A,CofE,83,404,0.7,0.6,3.5,2,13,24.5,25824,20403,20521,24350,24048,26004,21107,24699,27680
SN,1.52,6.74,P,A,CofE,73,115,0.9,1,6.1,2,17,22.4,19597,23428,23065,24553,25860,31594,2483,5760,22665
SE,1.56,5.39,M,A,CofE,50,603,1.5,3.3,25.5,2,17,18,32249,31580,31704,32739,30944,25695,31039,15600,31458
SW,5.38,5.12,P,MS,CofE,50,193,2.6,4.8,13,2,16,19.1,17074,20664,15836,12996,23040,8895,9703,16778,18478
SG,4,6.5,P,I,CofE,90,127,0,0,0,1,na,16,23744,24575,27438,21752,25023,24894,6079,13795,22734
STG,1.89,6.08,P,MS,C,66,190,0,9.9,22.6,2,15,24.7,9899,9533,10620,1307,11712,29521,13759,27652,6868
SJ,1.66,5.08,P,MS,C,56,318,1.6,24.6,6.6,2,14,21.3,28590,21420,29165,30673,23690,20829,28800,17944,24364
SL,5.5,8,P,MS,C,69,215,0.5,27.1,11.2,2,17,25.7,12365,13868,13161,10030,15659,6337,7323,18916,15083
SS,2.79,7.15,P,MS,CofE,79,414,1,6.5,5.1,2,15,23.6,31088,31445,31764,31760,31571,15098,19209,22190,29855
SA,1.67,7.24,P,MS,CofE,52,217,4.1,45.5,19.6,2,14,19.4,15917,18250,16005,16678,22408,15353,23752,1751,15644
STM,1.65,5.8,P,MS,CofE,45,167,0,0.7,17.4,3,17,19.3,31177,29332,29648,25720,26028,27756,26771,22938,28318
SM,1.15,4.99,M,MS,None,63,273,0.7,1.1,22,2,14,16.1,17445,15157,17178,9564,21765,24009,14567,14975,15582
WC,3.08,6.29,P,MS,None,42,305,1.6,5.7,13.1,2,16,23.5,19693,20963,16918,20804,16092,10819,26841,12817,27545
WD,2.64,5.64,P,A,None,64,228,8.3,2.5,15.8,2,16,19.8,25987,24416,25799,20118,29624,26230,8589,22702,19226
WB,2.85,4.83,P,MS,CofE,77,223,4.5,7.2,48,2,15,18.8,6092,6489,5895,734,11396,14841,10469,23115,7746
WS,1.86,6.36,P,MS,CofE,64,161,2.5,2.9,4.3,1,11,21.6,27445,29692,28850,29942,31587,22806,5498,16875,30550
