Student_number,Ability,Difference_in_days,Gender,TotalpreA,TotalpostA,TotalretA,DiffprepostA,SoW
FA381,M,4251,F,6,6,na,0,1
FA382,M,4075,F,6,14,na,8,1
FA383,M,4151,F,3,8,na,5,1
FA384,M,3991,M,11,8,na,-3,1
FA385,M,3962,M,8,8,na,0,1
FA386,M,4092,M,4,7,na,3,1
FA387,M,3996,M,8,9,na,1,1
FA388,L,3957,F,2,3,na,1,1
FA389,L,4142,M,3,5,na,2,1
FA3810,L,4235,M,3,5,na,2,1
FA3811,L,3463,F,4,6,na,2,1
FA3812,H,4034,F,12,11,na,-1,1
FA3813,H,4118,F,7,6,na,-1,1
FA3814,H,4137,F,11,12,na,1,1
FA3815,H,4257,M,4,7,na,3,1
FA3816,H,4042,M,6,13,na,7,1
FA3817,M,4189,M,6,na,na,na,1
FA3818,M,3994,M,8,na,na,na,1
FA3819,M,4279,M,6,na,na,na,1
FA391,H,4029,M,7,7,na,0,1
FA392,M,4300,M,11,12,na,1,1
FA393,M,4100,M,7,9,na,2,1
FA394,M,4062,F,4,6,na,2,1
FA395,M,4059,F,3,5,na,2,1
FA396,M,3980,F,5,6,na,1,1
FA397,M,4140,F,4,6,na,2,1
FA398,M,4094,F,3,5,na,2,1
FA399,M,3940,F,4,8,na,4,1
FA3910,M,3951,F,4,4,na,0,1
FA3911,M,4228,F,5,6,na,1,1
FA3912,M,4168,F,3,4,na,1,1
FA3913a,M,4238,F,5,4,na,-1,1
FA3913b,M,3986,F,2,4,na,2,1
FA3914,L,4079,M,3,9,na,6,1
FA3915,L,3986,M,4,5,na,1,1
FA3916,L,4079,F,6,4,na,-2,1
FA3917,L,4259,F,8,10,na,2,1
FA3918,L,4240,F,3,6,na,3,1
FA3919,L,4240,F,6,5,na,-1,1
FA3920,L,4303,M,3,na,na,na,1
FA3921,M,4015,M,2,na,na,na,1
FA401,H,4169,M,9,9,na,0,1
FA402,H,4018,M,7,10,na,3,1
FA403,H,4277,M,4,6,na,2,1
