Student_number,Ability,Difference_in_days,Gender,TotalpreA,TotalpostA,TotalretA,DiffprepostA,SoW
FA388,L,3957,F,2,3,na,1,1
FA389,L,4142,M,3,5,na,2,1
FA3810,L,4235,M,3,5,na,2,1
FA3811,L,3463,F,4,6,na,2,1
FA3914,L,4079,M,3,9,na,6,1
FA3915,L,3986,M,4,5,na,1,1
FA3916,L,4079,F,6,4,na,-2,1
FA3917,L,4259,F,8,10,na,2,1
FA3918,L,4240,F,3,6,na,3,1
FA3919,L,4240,F,6,5,na,-1,1
FA4017,L,4292,M,5,7,na,2,1
FA4018,L,4091,F,6,6,na,0,1
FA4019,L,4066,F,5,6,na,1,1
FF1b1,L,3765,F,3,8,na,5,1
FF1b2,L,4013,F,5,6,na,1,1
FF1b3,L,3768,M,3,6,na,3,1
SA4120,L,3892,M,4,8,5,4,1
SA4121,L,3909,F,4,6,10,2,1
SE6c1,L,4038,F,2,4,5,2,1
SE6c2,L,3851,F,2,7,3,5,1
SE6c3,L,3966,M,3,7,3,4,1
SE6c4,L,3872,F,5,8,8,3,1
SE6c5,L,3792,F,8,8,4,0,1
SE6c6,L,3894,F,8,9,8,1,1
SE6c7,L,3892,M,4,4,4,0,1
SE6c8,L,3955,M,4,6,4,2,1
SE6c9,L,4113,M,5,6,5,1,1
SE6c10,L,4108,M,3,3,5,0,1
SE6c11,L,3863,M,2,8,5,6,1
SE6c12,L,3798,F,2,3,2,1,1
SE6c13,L,3809,F,4,6,na,2,1
SE43b1,L,4080,M,5,3,8,-2,1
SE43b2,L,4143,M,4,6,5,2,1
SE43b3,L,3976,M,6,3,6,-3,1
SE43b4,L,4077,M,5,8,5,3,1
SE43b5,L,3832,M,3,9,9,6,1
SE43b6,L,3971,F,2,4,5,2,1
SE43b7,L,4142,M,5,9,7,4,1
SE43b8,L,3890,F,2,4,5,2,1
SE43b9,L,3899,M,3,3,9,0,1
SE43b10,L,3857,F,2,5,4,3,1
SE43b11,L,4119,F,3,3,2,0,1
SE43b12,L,3965,F,7,6,6,-1,1
SE43b13,L,3892,F,5,4,5,-1,1
SE43b14,L,4117,F,6,3,2,-3,1
SE43b15,L,3831,F,6,4,4,-2,1
SE43b16,L,4138,F,7,5,8,-2,1
SE43b17,L,3962,F,2,5,6,3,1
SE43b18,L,3857,M,5,4,10,-1,1
SG57b6,L,3811,M,4,8,8,4,1
SG57b9,L,3878,M,6,15,11,9,1
SG57b11,L,3686,F,7,12,13,5,1
SG57b12,L,3985,F,5,6,11,1,1
SS45b3,L,3980,M,5,6,na,1,1
SS45b12,L,3753,M,8,6,na,-2,1
SS45b19,L,3901,M,6,10,na,4,1
SS45b21,L,3780,F,6,10,na,4,1
SS45b23,L,3855,M,7,2,na,-5,1
SS45b25,L,3791,M,2,5,na,3,1
ST5114,L,3851,F,4,4,10,0,1
ST5116,L,3820,F,2,7,7,5,1
ST5117,L,4065,F,5,11,14,6,1
ST5220,L,3596,F,5,5,7,0,1
STG42a17,L,3877,M,10,8,10,-2,1
STG42a18,L,3998,M,3,5,1,2,1
STG42a19,L,3728,F,4,9,10,5,1
STG42a20,L,3673,F,6,6,6,0,1
STG42a21,L,3871,F,4,5,5,1,1
STG42a22,L,3891,F,6,8,na,2,1
STG42a23,L,3807,M,4,4,na,0,1
STG42a24,L,3731,M,4,7,na,3,1
STG42b4,L,3703,F,7,6,na,-1,1
STG42b7,L,3701,F,8,3,na,-5,1
STG42b9,L,4268,M,5,7,na,2,1
STG42b10,L,3723,F,8,8,na,0,1
STG42b13,L,3753,M,7,11,na,4,1
STG42b15,L,3735,M,3,2,na,-1,1
STG42b18,L,4023,M,6,8,na,2,1
STG42b21,L,3984,F,7,11,na,4,1
BB733,L,3899,F,3,3,na,0,2
BB738,L,3409,F,4,6,na,2,2
BB739,L,3633,F,4,8,na,4,2
BB7311,L,4004,F,5,9,na,4,2
BB7313,L,4001,F,0,4,na,4,2
BB7314,L,3378,F,5,6,na,1,2
BB7320,L,3372,M,2,5,na,3,2
BB7322,L,4004,M,4,5,na,1,2
BB7325,L,3896,M,4,5,na,1,2
BB7326,L,3550,M,5,8,na,3,2
BB741,L,3357,F,5,7,na,2,2
BB7413,L,3324,M,1,7,na,6,2
BB7414,L,3551,M,3,5,na,2,2
BB7415,L,4081,M,3,7,na,4,2
HO754,L,3803,M,5,6,na,1,2
HO7510,L,4141,F,8,12,na,4,2
HO7512,L,4096,F,6,9,na,3,2
HO7513,L,4096,M,2,6,na,4,2
HO7514,L,3807,F,2,3,na,1,2
HO7523,L,3837,M,7,5,na,-2,2
HO7524,L,3853,F,8,7,na,-1,2
HO761,L,3453,F,4,8,na,4,2
HO764,L,3551,F,5,9,na,4,2
HO767,L,3332,F,8,11,na,3,2
HO7613,L,3679,M,5,10,na,5,2
HO7620,L,3568,M,4,9,na,5,2
HO7622,L,3756,F,6,12,na,6,2
HS6422,L,3427,M,4,9,na,5,2
HS6423,L,4013,M,4,11,na,7,2
HS6424,L,4126,M,5,4,na,-1,2
HS6425,L,4128,M,5,11,na,6,2
HS6426,L,3835,F,9,10,na,1,2
HS6427,L,3648,F,4,7,na,3,2
HS6428,L,3590,F,7,6,na,-1,2
HS6429,L,3575,F,5,8,na,3,2
HS6430,L,3792,F,4,10,na,6,2
NB17b18,L,4009,F,8,10,12,2,2
NB17b19,L,3927,F,3,6,9,3,2
