Teacher Number,Gender,School type,FL?,When,YoE,Religion,Highestqual,CQ,MATE,CINS,Precongen,Preconevo,Postcongen,Postconevo,Diffgen,Diffevo,Preceivedconchangeevo,Coninc,NiC,PreA,PostA,DiffPPA,RetA,SOW
1b,F,P,Y,KS4,15,N,KS4,Y,84,9,4,9,5,9,1,0,12,3,29,6.26,8.57,2.3,NA,1
4c,F,M,Y,KS5,6,N,D,Y,81,18,9,10,8,12,-1,2,15,6,15,5.47,7.27,1.8,5.67,3
4d,F,M,Y,KS5,6,N,D,Y,81,18,9,10,8,12,-1,2,15,6,8,4.5,5,0.5,4.38,3
5d,M,M,Y,D,25,N,MSc,Y,99,18,10,15,10,15,0,0,9,0,32,5.5,9.43,3.93,7.81,1
6b,M,M,Y,D,4,N,D,Y,98,16,10,15,10,15,0,0,12,3,31,8.33,9.56,1.22,8.68,1
6c,M,M,Y,D,4,N,D,Y,98,16,10,15,10,15,0,0,12,3,15,4,6.08,2.08,4.67,1
15b,F,P,N,N,15,N,KS4,Y,88,10,7,9,8,12,1,3,12,3,30,5.12,10.5,5.38,9.21,3
17b,F,P,N,N,20,Y,KS4,Y,82,18,6,9,8,12,2,3,12,3,27,6,9.31,3.31,10.15,2
21c,F,M,Y,KS5,20,Y,D,Y,81,12,8,12,8,12,0,0,12,3,27,5.69,7.42,1.73,7.68,4
23b,F,M,N,N,3,N,KS4,Y,86,9,8,12,9,12,1,0,12,3,23,5.36,6.95,1.59,NA,4
38,F,P,Y,KS4,5,N,KS4,Y,75,9,4,9,6,12,2,3,9,0,19,6.13,8,1.88,NA,1
39,M,P,Y,KS4,5,N,KS4,Y,89,9,6,10,6,9,0,-1,11,2,22,4.85,6.25,1.4,NA,1
40,M,P,Y,D,6,N,D,Y,97,10,10,15,8,12,-2,-3,9,0,25,5.65,7,1.35,NA,1
41,M,P,Y,KS4,1,Y,KS5,Y,81,14,6,11,NA,NA,NA,NA,NA,NA,22,7.24,8.9,1.67,8.1,1
42a,M,P,N,N,6,Y,KS5,Y,92,14,NA,NA,5,8,NA,NA,13,4,27,6.07,7.63,1.56,7.33,1
42b,M,P,N,N,6,Y,KS5,Y,92,14,NA,NA,5,8,NA,NA,13,4,26,6.08,8.29,2.21,NA,1
43a,F,M,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,4.78,4.78,0,5.33,1
43b,F,M,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,4.33,4.89,0.56,5.81,1
44,M,P,N,N,3,N,KS4,Y,90,11,7,9,NA,NA,NA,NA,NA,NA,22,5.8,7.45,1.65,NA,4
45a,F,P,N,N,31,Y,KS4,Y,78,10,4,8,7,12,3,4,12,3,29,8.25,12.14,3.89,NA,4
45b,F,P,N,N,31,Y,KS4,Y,78,10,4,8,7,12,3,4,12,3,29,6.04,7.73,1.69,NA,1
47,F,M,N,N,13,PNS,KS4,Y,94,15,6,9,6,9,0,0,12,3,24,6.1,6.85,0.75,NA,4
48,F,M,Y,KS4,38,N,KS4,Y,86,18,7,10,7,10,0,0,10,1,28,4.61,7,2.39,NA,4
49,F,M,Y,KS4,7,N,KS5,Y,87,9,8,10,8,10,0,0,12,3,26,6,7.08,1.08,5.59,4
50,M,P,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34,6.15,6.94,0.79,8.41,1
51,M,P,Y,D,24,N,KS4,Y,100,17,8,12,NA,NA,NA,NA,NA,NA,34,6.74,8.68,1.94,10.9,1
52,M,P,N,N,2,N,KS4,Y,98,18,8,12,9,11,1,-1,11,2,34,5,7,2,6.97,1
53,F,P,N,N,2,N,KS4,Y,86,14,6,12,8,12,2,0,14,5,30,6.74,8.26,1.52,NA,4
54,F,P,Y,KS4,1,N,KS4,Y,77,8,5,10,NA,NA,NA,NA,NA,NA,30,5.09,6.26,1.17,NA,4
55,F,P,Y,KS5,3,N,KS5,Y,100,13,7,9,NA,NA,NA,NA,NA,NA,27,4.44,6.36,1.92,NA,4
56,F,P,N,N,1,Y,KS4,Y,98,18,7,12,NA,NA,NA,NA,NA,NA,28,5.7,7.59,1.89,NA,4
57a,F,P,N,N,9,N,KS5,Y,85,13,7,9,8,12,1,3,15,6,17,7,9.5,2.5,9.19,4
57b,F,P,N,N,9,N,KS5,Y,85,13,7,9,8,12,1,3,15,6,18,6,11.5,5.5,11.56,1
58,F,p,N,N,4,Y,KS4,Y,80,12,5,6,7,12,2,6,14,5,19,6.29,10.71,4.41,8,4
59,F,p,Y,KS5,7,N,KS5,Y,95,12,8,12,8,12,0,0,12,3,28,6.1,8.38,2.29,8.6,4
60,M,p,Y,KS4,2,N,KS4,Y,85,14,6,12,7,15,1,3,12,3,29,5.64,8.27,2.64,8.67,2
61,F,p,N,N,11,N,KS4,Y,68,10,6,9,5,10,-1,1,11,2,27,3.52,8.76,5.24,NA,2
62a,F,p,N,N,13,N,NONE,Y,98,8,2,6,NA,NA,NA,NA,NA,NA,24,6.53,8,1.47,6.5,2
62b,F,p,N,N,13,N,NONE,Y,98,8,2,6,NA,NA,NA,NA,NA,NA,27,4.1,6.85,2.75,6.81,2
63a,F,p,Y,KS4,6,N,KS4,Y,85,12,3,7,7,15,4,8,15,6,21,3.72,9.94,6.22,NA,2
63b,F,p,Y,KS4,6,N,KS4,Y,85,12,3,7,7,15,4,8,15,6,18,4.81,7.44,2.63,NA,2
64,F,p,Y,KS4,30,Y,KS4,Y,90,11,5,10,NA,NA,NA,NA,NA,NA,33,5.65,9.52,3.87,NA,2
65,F,p,Y,KS5,15,N,D,Y,78,11,8,12,,NA,NA,NA,NA,NA,25,6.29,9.38,3.08,NA,3
67,F,p,N,N,11,N,KS4,Y,94,12,6,9,8,15,2,6,15,6,30,6.36,8.23,1.86,8.1,3
68,F,p,Y,KS5,6,N,KS5,Y,90,11,NA,NA,8,11,NA,NA,12,3,31,8,13.5,5.5,12,3
69,F,p,N,N,24,Y,KS4,Y,91,15,7,12,NA,NA,NA,NA,NA,NA,24,5.04,8.83,3.78,NA,3
70a,F,m,Y,KS5,12,N,KS5,Y,84,17,9,15,NA,NA,NA,NA,NA,NA,27,5.63,8.48,2.85,NA,3
70b,F,m,Y,KS5,12,N,KS5,Y,84,17,9,15,NA,NA,NA,NA,NA,NA,34,6.48,7.79,1.31,NA,3
71a,M,m,Y,KS5,7,Y,KS5,Y,68,12,10,15,10,15,0,0,9,0,31,6.52,7.79,1.28,NA,3
71b,M,m,Y,KS5,7,Y,KS5,Y,68,12,10,15,10,15,0,0,9,0,28,7.4,9.1,1.7,NA,3
72,F,P,Y,KS5,5,N,KS4,Y,95,17,6,10,8,11,2,1,12,3,19,5,6.2,1.2,NA,2
73,M,P,N,N,16,Y,KS4,Y,91,11,5,6,6,10,1,4,14,5,26,4.23,6.42,2.19,NA,2
74,F,P,N,N,20,N,KS4,Y,87,9,6,13,NA,NA,NA,NA,NA,NA,27,4.83,8.61,3.78,NA,2
75,F,p,N,N,20,N,KS4,Y,93,12,9,15,NA,NA,NA,NA,NA,NA,24,6.42,8.42,2,NA,2
76,M,p,N,N,19,Y,D,Y,91,17,9,15,NA,NA,NA,NA,NA,NA,27,7.24,11.04,3.8,NA,2
77,F,p,NA,NA,NA,NA,NA,N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,4.83,6.75,1.92,NA,3
