Teacherno,Gender,Type,FL?,When,YoE,Religion,Highestqual,MATE,CINS,Precongen,Preconevo,Postcongen,Postconevo,Diffgen,Diffevo,Preceivedconchangeevo,Coninc,NiC,PreA,PostA,DiffPPA,RetA
1,F,P,Y,KS4,15,N,KS4,84,9,4,9,5,9,1,0,12,3,29,5.97,7.93,1.89,8.04
2,M,M,Y,D,11,Y,D,90,18,10,15,10,15,0,0,9,0,17,4.94,6.88,1.94,NA
4a,F,M,Y,KS5,6,N,D,81,18,9,10,8,12,-1,2,15,6,25,4.48,6,1.52,5.61
4b,F,M,Y,KS5,6,N,D,81,18,9,10,8,12,-1,2,15,6,25,8.96,10.12,1.16,11.11
5a,M,M,Y,D,25,N,MSc,99,18,10,15,10,15,0,0,9,0,24,4.92,5.8,1.15,5.63
5b,M,M,Y,D,25,N,MSc,99,18,10,15,10,15,0,0,9,0,32,5.75,7.89,2.15,7.79
5c,M,M,Y,D,25,N,MSc,99,18,10,15,10,15,0,0,9,0,30,6.37,8.31,1.92,8.5
6,M,M,Y,D,4,N,D,98,16,10,15,10,15,0,0,12,3,26,4.85,7.88,2.84,6.71
9,F,P,N,NA,15,Y,KS4,81,11,5,9,NA,NA,NA,NA,NA,NA,23,6.3,NA,NA,NA
11,M,M,N,NA,20,N,KS4,95,9,7,12,8,12,1,0,10,1,24,6.24,8.88,2.64,NA
12a,F,M,N,NA,2,N,KS5,76,7,5,9,6,13,1,4,11,2,28,6.93,8.48,1.68,NA
12b,F,M,N,NA,2,N,KS5,76,7,5,9,6,13,1,4,11,2,29,6.69,7.86,1.11,NA
13,M,M,N,NA,4,N,KS5,82,16,8,13,10,15,2,2,11,2,30,5.4,9.47,4.07,NA
14,F,M,N,NA,25,N,N,80,10,4,9,7,10,3,1,10,1,31,5.42,6.87,1.47,NA
15,F,P,N,NA,15,N,KS4,88,10,7,9,8,12,1,3,12,3,17,5.41,10.12,4.71,NA
16,F,P,N,NA,15,N,KS4,82,13,6,12,6,12,0,0,15,6,15,5,8.33,3.33,8.33
17,F,P,N,NA,20,Y,KS4,82,18,6,9,8,12,2,3,12,3,31,4.97,9.74,4.77,7.25
18,M,M,N,NA,23,N,KS5,86,10,9,10,8,12,-1,2,12,3,25,6.16,7.83,1.58,6.83
19,F,P,N,NA,23,Y,KS4,73,10,4,7,6,11,2,4,15,6,23,4.91,6.65,1.74,6.65
20,M,P,Y,KS4,19,N,N,76,11,6,11,7,14,1,3,15,6,25,5.22,8.58,3.59,6.48
21a,F,M,Y,KS5,20,Y,D,81,12,8,12,8,12,0,0,12,3,28,5.29,7.11,1.82,7.25
21b,F,M,Y,KS6,20,Y,D,81,12,8,12,8,12,0,0,12,3,21,5,6.23,1.38,6.15
22,F,M,N,NA,10,PNS,KS4,63,7,6,10,6,12,0,2,11,2,24,4.83,6.38,1.63,NA
23,F,M,N,NA,3,N,KS4,86,9,8,12,9,12,1,0,12,3,25,5.29,7.13,1.83,NA
24,F,M,Y,D,3,N,D,96,15,8,15,10,15,2,0,12,3,25,4.84,6.79,2.04,NA
25,F,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,5.42,7.44,1.92,NA
26,F,P,N,NA,12,Y,KS4,82,12,7,9,7,10,0,1,12,3,27,5.63,9.39,3.78,NA
27,F,P,N,NA,24,N,KS4,88,9,6,8,7,12,1,4,12,3,25,5.36,9.48,4.2,NA
28,F,P,Y,KS4,15,N,KS4,98,12,4,8,8,14,4,6,14,5,19,4.26,9.88,5.53,8.13
29,F,P,N,NA,3,Y,KS4,67,8,5,10,7,9,2,-1,15,6,30,5.23,6.6,1.37,NA
30,F,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,6.14,7.76,1.62,NA
31,F,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,5.33,7.43,1.93,NA
32,M,P,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29,5.17,7.15,2,NA
33,F,M,Y,D,2,PNS,D,88,20,8,12,10,12,2,0,10,1,30,5.7,9.46,3.71,NA
34,M,M,N,D,28,N,D,91,12,10,15,10,15,0,0,9,0,29,5.86,8.21,2.34,NA
35a,F,M,Y,D,20,Y,D,87,16,7,12,8,14,1,2,11,2,28,5.36,8.12,2.73,NA
35b,F,M,Y,D,20,Y,D,87,16,7,12,8,14,1,2,11,2,29,4.28,6.89,2.68,NA
36a,M,M,N,NA,24,N,KS5,94,9,6,11,NA,NA,NA,NA,NA,NA,25,5,8.9,3.65,NA
36b,M,M,N,NA,24,N,KS5,94,9,6,11,NA,NA,NA,NA,NA,NA,23,4.48,7.67,3,NA
37a,F,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,5.23,7.5,2.27,NA
37b,F,M ,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,5.84,7.65,1.96,NA
